Name	N duplicates	Raw 0	Raw 1	Raw 2	Raw 3	Raw 4	Raw 5	Raw 6	Raw 7	Raw 8	Raw 9	Raw 10	Raw 11	Raw 12	Raw 13	Raw 14	Raw 15	Raw 16	Raw 17	Raw 18	Raw 19	Raw 20	Raw 21	Raw 22	Raw 23	Raw 24	Raw 25	Raw 26	Raw 27	Raw 28	Raw 29	Raw 30	Raw 31	Raw 32	Raw 33	Raw 34	Raw 35	Ratio 0	Ratio 1	Ratio 2	Ratio 3	Ratio 4	Ratio 5	Ratio 6	Ratio 7	Ratio 8	Ratio 9	Ratio 10	Ratio 11	Ratio 12	Ratio 13	Ratio 14	Ratio 15	Ratio 16	Ratio 17	Ratio 18	Ratio 19	Ratio 20	Ratio 21	Ratio 22	Ratio 23	Ratio 24	Ratio 25	Ratio 26	Ratio 27	Ratio 28	Ratio 29	Ratio 30	Ratio 31	Ratio 32	Ratio 33	Ratio 34	Ratio 35	Control Ratio Std	Signal Quality	pEC50	Curve Slope	Curve Front	Curve Back	Curve Fold Change	Curve AUC	Curve RMSE	Curve R2	pEC50 Error	Curve Slope Error	Curve Front Error	Curve Back Error	Null Model	Null RMSE	Curve F_Value	Curve P_Value	Curve Log P_Value	Curve F_Value SAM Corrected	Curve Relevance Score	Curve Regulation
A204 AZD-0156	1	1.0	1.0	1.0	1.1093	1.1058	1.0336	1.141	1.0797	1.0875	1.1272	1.0699	1.0257	1.1377	1.1111	1.058	1.114	1.0388	0.9703	1.0987	1.0214	0.9214	0.8907	0.9467	0.9197	0.9034	0.8006	0.8161	0.7248	0.7112	0.6756		0.659	0.8735	0.7048	0.5748	0.6052	1.0	1.0	1.0	1.1093	1.1058	1.0336	1.141	1.0797	1.0875	1.1272	1.0699	1.0257	1.1377	1.1111	1.058	1.114	1.0388	0.9703	1.0987	1.0214	0.9214	0.8907	0.9467	0.9197	0.9034	0.8006	0.8161	0.7248	0.7112	0.6756		0.659	0.8735	0.7048	0.5748	0.6052	0.0	0.0	6.633285519083468	0.8308590807671082	1.0915356944443548	0.647777503953466	-0.585409692327103	0.937603679262462	0.058969495737287034	0.8800328546839168	0.1855476842099364	0.2553902322271008	0.020707278636367878	0.049075269339291565	0.9381519736842103	0.170279575351262	60.53983018972099	6.024466273725916e-13	12.220081422552774	6.484938099036905	3.187178210656204	down
A204 AZD-3759	1	1.0	1.0	1.0	1.0603	1.0532	1.0408	1.1138	1.0882	1.1062	1.1249	1.0952	1.04	1.0947	1.0485	1.0872	1.0626	1.1155	0.9731	1.0765	1.1261	1.0348	1.0215	1.0871	1.0022	1.017	1.0496	1.0398	0.9789	1.0163	1.0878	0.9286	0.9268	1.008	0.8503	0.9135	0.8845	1.0	1.0	1.0	1.0603	1.0532	1.0408	1.1138	1.0882	1.1062	1.1249	1.0952	1.04	1.0947	1.0485	1.0872	1.0626	1.1155	0.9731	1.0765	1.1261	1.0348	1.0215	1.0871	1.0022	1.017	1.0496	1.0398	0.9789	1.0163	1.0878	0.9286	0.9268	1.008	0.8503	0.9135	0.8845	0.0	0.0	3.831965558976044	0.56450366054295	1.0746427712033881	0.0001	-0.181928643343658	1.0403818917552226	0.038744186641796415	0.6843643423915293	7.753223762043912	0.5334026029967248	0.013603043222555336	7.739515128147263	1.0353818181818182	0.06897793752597907	18.441777092488056	1.1240774168914918e-07	6.949203777226953	0.8492376358710878	0.21601827761930434	not
A204 AZD-4547	1	1.0	1.0	1.0	1.0492	1.0377	1.0269	1.0519	1.0766	1.049	1.0444	1.0185	1.0453	1.0036	0.9971	1.0564	1.0244	0.9688	1.0563	0.907	0.783	0.8338	0.7238	0.6943	0.7231	0.6068	0.6646	0.604	0.5205	0.6126	0.5352	0.4514	0.4654	0.4709	0.2612	0.2786	0.2808	1.0	1.0	1.0	1.0492	1.0377	1.0269	1.0519	1.0766	1.049	1.0444	1.0185	1.0453	1.0036	0.9971	1.0564	1.0244	0.9688	1.0563	0.907	0.783	0.8338	0.7238	0.6943	0.7231	0.6068	0.6646	0.604	0.5205	0.6126	0.5352	0.4514	0.4654	0.4709	0.2612	0.2786	0.2808	0.0	0.0	6.321089516477784	0.4922740423581718	1.084441839059596	0.15078584650030197	-1.637276805062231	0.7944009235928801	0.04857893209288654	0.9659253633542193	0.24633667371467718	0.09413142873236625	0.026950897147976376	0.1173692773509563	0.7900194805194806	0.2631739630683322	240.96455021984156	2.0141295158790192e-20	19.695912606164196	39.49450126180672	10.391832811235496	down
A204 Abemaciclib	1	1.0	1.0	1.0	1.0851	1.0328	1.0236	1.0741	1.0428	1.0044	1.0182	1.0516	1.036	1.062	1.0266	0.9946	0.9901	0.9761	0.9604	0.9075	0.8565	0.8649	0.8622	0.7239	0.7234	0.5893	0.5436	0.5579	0.4447	0.3979	0.4097	0.4095	0.3487	0.391	0.366	0.3205	0.3132	1.0	1.0	1.0	1.0851	1.0328	1.0236	1.0741	1.0428	1.0044	1.0182	1.0516	1.036	1.062	1.0266	0.9946	0.9901	0.9761	0.9604	0.9075	0.8565	0.8649	0.8622	0.7239	0.7234	0.5893	0.5436	0.5579	0.4447	0.3979	0.4097	0.4095	0.3487	0.391	0.366	0.3205	0.3132	0.0	0.0	6.736623039075018	0.9094570592418042	1.042830181015221	0.3187091057035587	-1.5679258782127794	0.777414664705314	0.03216359979384441	0.9865878159215623	0.05195847090743788	0.08814286416185489	0.010915045272295375	0.021560731135760333	0.773987012987013	0.2777384897876659	625.313909448125	1.4504080164056168e-25	24.83850980856016	51.84599360962758	11.718031470416618	down
A204 Abrocitinib	1	1.0	1.0	1.0	1.1187	1.0799	1.0038	1.1426	1.0338	1.0076	1.1273	1.0538	1.0408	1.1418	1.0285	1.0157	1.1312	1.0442	1.0366	1.1235	1.0585	1.021	1.1165	1.0703	1.0295	1.1328	1.0374	1.0346	1.1008	0.9679	1.0355	1.0429	0.9347	1.0571	0.9798	0.9537	0.912	1.0	1.0	1.0	1.1187	1.0799	1.0038	1.1426	1.0338	1.0076	1.1273	1.0538	1.0408	1.1418	1.0285	1.0157	1.1312	1.0442	1.0366	1.1235	1.0585	1.021	1.1165	1.0703	1.0295	1.1328	1.0374	1.0346	1.1008	0.9679	1.0355	1.0429	0.9347	1.0571	0.9798	0.9537	0.912	0.0	0.0	5.142846717305666	1.102964810005128	1.0671357575393987	0.8672361260925368	-0.07513676652909398	1.0524335429822136	0.04781558709876313	0.34461694354338723	2.0844581082134845	1.8345681954989244	0.011733472127333371	0.4978021699679189	1.0488296536796535	0.05907896588573277	4.476145608949151	0.005409005609346774	2.2668825681776275	0.15545566517592455	0.0003266843735879135	not
A204 Acalabrutinib	1	1.0	1.0	1.0	1.1158	1.0615	1.0228	1.0665	1.0868	1.0678	1.0717	1.0678	1.0263	1.1257	1.0716	1.0731	1.1255	1.1354	1.0456	1.0699	1.1099	1.0809	1.1182	1.0616	1.0331	1.0983	1.03	1.024	1.1129	1.0425	1.0046	0.9868	1.0208	1.0395	0.9148	0.8838	0.8178	1.0	1.0	1.0	1.1158	1.0615	1.0228	1.0665	1.0868	1.0678	1.0717	1.0678	1.0263	1.1257	1.0716	1.0731	1.1255	1.1354	1.0456	1.0699	1.1099	1.0809	1.1182	1.0616	1.0331	1.0983	1.03	1.024	1.1129	1.0425	1.0046	0.9868	1.0208	1.0395	0.9148	0.8838	0.8178	0.0	0.0	4.437779525330813	1.1315753967732156	1.0746925492914639	0.0001	-0.19599618280307568	1.0567145541238618	0.03622323038248571	0.7117802275454415	5.406215671279923	1.3845988718129087	0.008728886952607144	10.792077542022463	1.049285064935065	0.0674972153571017	21.013198705640637	3.1284801603783856e-08	7.5046665948068085	0.9817446646799437	0.2838777568177694	not
A204 Afatinib	1	1.0	1.0	1.0	1.0504	0.9859	0.9417	0.9442	1.0499	1.007	0.9883	1.0178	1.0704	0.9522	1.0699	0.9048	1.0673	1.0476	0.9187	0.9561	0.9897	0.8885	0.9027	0.8643	0.8111	0.6688	0.5757	0.5391	0.3313	0.359	0.3294	0.1648	0.1995	0.1603	0.0039	0.0053	0.0083	1.0	1.0	1.0	1.0504	0.9859	0.9417	0.9442	1.0499	1.007	0.9883	1.0178	1.0704	0.9522	1.0699	0.9048	1.0673	1.0476	0.9187	0.9561	0.9897	0.8885	0.9027	0.8643	0.8111	0.6688	0.5757	0.5391	0.3313	0.359	0.3294	0.1648	0.1995	0.1603	0.0039	0.0053	0.0083	0.0	0.0	6.238167157809894	1.0371992203014608	1.0072918886250704	0.0001	-4.325968561410471	0.7413658049016433	0.048656622359589626	0.9818698441689456	0.06085522416326293	0.12123084025358653	0.013817496801944051	0.04462408178862177	0.7269244588744589	0.36136501708666413	460.3427714196092	6.613041080457551e-24	23.179598779434137	147.1006210949708	17.072637088523535	down
A204 Alectinib	1	1.0	1.0	1.0	1.1052	1.0823	1.0783	1.0411	1.0951	1.0777	1.068	1.0991	1.1121	1.0562	1.1157	1.1222	1.09	1.0882	1.0689	1.0805	1.0939	1.0945	1.1195	1.1078	1.1482	1.13	1.1213	1.1488	1.107	1.106	1.0979	1.1028	1.1387	1.174	1.0733	1.1466	1.2126	1.0	1.0	1.0	1.1052	1.0823	1.0783	1.0411	1.0951	1.0777	1.068	1.0991	1.1121	1.0562	1.1157	1.1222	1.09	1.0882	1.0689	1.0805	1.0939	1.0945	1.1195	1.1078	1.1482	1.13	1.1213	1.1488	1.107	1.106	1.0979	1.1028	1.1387	1.174	1.0733	1.1466	1.2126	0.0	0.0	3.0	0.08313445064820671	1.0033064543011447	1.3399843090577965	0.188792291821539	1.1058343079765012	0.027052832094247758	0.493251330790772	42.28795852029287	0.17081709115919808	0.02879610052690729	1.4905396709927838	1.1046551948051948	0.038037007208248284	8.303746816350603	0.00010629406246038671	3.9734909942980545	0.7326174982238006	0.16043798084185448	
A204 Alisertib	1	1.0	1.0	1.0	1.1037	1.0882	1.0245	1.0626	1.0782	1.0783	1.0471	1.0921	1.0684	1.0295	1.0176	1.0452	1.0516	1.052	1.1125	1.0388	1.0341	1.0992	0.7704	0.8686	1.0063	0.8149	0.7528	0.819	0.754	0.7111	0.8391	0.7311	0.7318	0.72	0.7616	0.6747	0.6962	1.0	1.0	1.0	1.1037	1.0882	1.0245	1.0626	1.0782	1.0783	1.0471	1.0921	1.0684	1.0295	1.0176	1.0452	1.0516	1.052	1.1125	1.0388	1.0341	1.0992	0.7704	0.8686	1.0063	0.8149	0.7528	0.819	0.754	0.7111	0.8391	0.7311	0.7318	0.72	0.7616	0.6747	0.6962	0.0	0.0	6.895082494932089	1.7841980009498664	1.0658832860962406	0.7362035433643783	-0.44155496243946574	0.9348849896594195	0.04591804912456694	0.9086149859299465	0.08390507049251207	0.5677034756044942	0.012715011404217883	0.017660363081723605	0.9339911255411258	0.15189694295193984	84.51438863784576	6.54071479889917e-15	14.184374787416683	4.72733709580719	2.3947851287669533	down
A204 Alpelisib	1	1.0	1.0	1.0	0.9875	0.9444	0.8953	1.0278	0.9822	0.9545	1.0278	0.9981	0.9889	1.088	0.9786	0.9896	0.9616	0.998	0.9891	0.8906	0.9255	0.9596	0.9302	0.8548	0.899	0.7748	0.7645	0.7631	0.6481	0.6255	0.6793	0.6151	0.5126	0.5443	0.4458	0.3861	0.4114	1.0	1.0	1.0	0.9875	0.9444	0.8953	1.0278	0.9822	0.9545	1.0278	0.9981	0.9889	1.088	0.9786	0.9896	0.9616	0.998	0.9891	0.8906	0.9255	0.9596	0.9302	0.8548	0.899	0.7748	0.7645	0.7631	0.6481	0.6255	0.6793	0.6151	0.5126	0.5443	0.4458	0.3861	0.4114	0.0	0.0	5.928171882122101	0.7142369752219188	0.9954660189614757	0.30752886459402046	-1.216472271107322	0.8445034156314074	0.03784180417019866	0.9633338524720337	0.1900306000901115	0.1313149804597176	0.01272388490246564	0.08795335362745611	0.8357430735930738	0.1976253057128176	223.32505281151606	5.13390250506857e-20	19.289552383018055	26.46709615037668	8.524721101459892	down
